OBJECTID,Cartegraph_ID,Street_Name,From_Street,To_Street,Street_Type,Location_Description,Ownership,Speed_Limit,Surface_Type,Surface_Width,Measured_ADT,PCI,Number_of_Lanes,Install_Date,Subdivision,Council_District,Map_Grid,CompKey,Mile_Length,Foot_Length,created_date,FISCAL_YR,LANE_MI,last_edited_date,SHAPESTLength
264,0687-005,STEPHENS RD,BAYCLIFF DR,COLUMBIA RD,Local,0687-005 STEPHENS RD From BAYCLIFF DR To COLUMBIA RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,65,2,1998/09/04 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,17673,0.10360268,547.02,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,209.105431352823
265,1817-001,COLUMBIA RD,STEPHENS RD,CUTTY SARK RD,Local,1817-001 COLUMBIA RD From STEPHENS RD To CUTTY SARK RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,76,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,19417,0.08619396,455.1,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,173.254320827162
266,2238-001,EAST RD,ALANTON DR N,STEPHENS RD,Local,2238-001 EAST RD From ALANTON DR N To STEPHENS RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,21,0,50,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,94352,0.11368778,600.27,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,228.494440641409
267,2238-002,EAST RD,STEPHENS RD,CUTTY SARK RD,Local,2238-002 EAST RD From STEPHENS RD To CUTTY SARK RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,69,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 6,J04,94353,0.084915,448.35,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,170.681261078974
268,3848-001,MYSTIC COVE DR,MARLIN BAY DR (WB),CHESTERFIELD AV,Local,3848-001 MYSTIC COVE DR From MARLIN BAY DR (WB) To CHESTERFIELD AV,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,77,2,1998/12/02 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,22284,0.01801383,95.11,2024/08/21 21:27:27+00,2025,0.05,2024/09/09 18:16:58+00,36.3656677941472
269,3848-005,MYSTIC COVE DR,CLIPPER BAY DR,SHORE DR (WB),Local,3848-005 MYSTIC COVE DR From CLIPPER BAY DR To SHORE DR (WB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,78,2,1998/12/02 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,22288,0.08221709,434.11,2024/08/21 21:27:27+00,2025,0.19,2024/09/09 18:16:58+00,165.883713654908
270,6287-003,MARLIN BAY DR (EB),MARLIN BAY CT,MYSTIC COVE DR,Local,6287-003 MARLIN BAY DR (EB) From MARLIN BAY CT To MYSTIC COVE DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,76,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,724220,0.08234374,434.77,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,165.59977753317
271,0524-001A,MARLIN BAY DR (WB),MYSTIC COVE DR,MARLIN BAY CT,Local,0524-001A MARLIN BAY DR (WB) From MYSTIC COVE DR To MARLIN BAY CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,48,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,98500,0.07540124,398.12,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,151.591355098298
272,0524-002,MARLIN BAY DR (WB),MARLIN BAY CT,WHISPERING SANDS LA,Local,0524-002 MARLIN BAY DR (WB) From MARLIN BAY CT To WHISPERING SANDS LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,66,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,98501,0.10048285,530.55,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,202.150546856771
273,3602-001,MARLIN BAY CT,MARLIN BAY DR (EB),N CUL-DE-SAC,Local,3602-001 MARLIN BAY CT From MARLIN BAY DR (EB) To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,50,0,65,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,21929,0.02602955,137.44,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,52.4490690362886
274,5538-001,WHISPERING SANDS LA,MARLIN BAY DR (EB),CLIPPER BAY DR,Local,5538-001 WHISPERING SANDS LA From MARLIN BAY DR (EB) To CLIPPER BAY DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,73,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,24387,0.0779599,411.63,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,157.345657035068
275,1769-003,CLIPPER BAY DR,MYSTIC COVE DR,STRATFORD RD E,Local,1769-003 CLIPPER BAY DR From MYSTIC COVE DR To STRATFORD RD E,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,36,0,69,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,G03,19361,0.09106366,480.82,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,183.434510025778
276,6287-001,MARLIN BAY DR (EB),SHORE DR (EB),OCEAN TIDES DR,Local,6287-001 MARLIN BAY DR (EB) From SHORE DR (EB) To OCEAN TIDES DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,79,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,F03,98504,0.15823399,835.48,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,318.870955987843
277,0524-004,MARLIN BAY DR (WB),OCEAN TIDES DR,SHORE DR (EB),Local,0524-004 MARLIN BAY DR (WB) From OCEAN TIDES DR To SHORE DR (EB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,68,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 9,F03,98503,0.14963935,790.1,2024/08/21 21:27:27+00,2025,0.3,2024/09/09 18:16:58+00,301.545514884651
278,5879-002,OAKUM CREEK DR,OAKUM CREEK LA,E CUL-DE-SAC,Local,5879-002 OAKUM CREEK DR From OAKUM CREEK LA To E CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,52,2,1998/12/31 05:00:00+00,OAKUM CREEK ESTATES,District 2,K21,94263,0.06009814,317.32,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,120.685437611022
279,0104-023,SANDPIPER RD (NB),SWORDFISH LA,TARPON LA,Collector,0104-023 SANDPIPER RD (NB) From SWORDFISH LA To TARPON LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,29,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05441001,287.28,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,109.583646757332
280,5171-001,TARPON LA,SANDPIPER RD (NB),W DEAD END,Local,5171-001 TARPON LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,29,0,77,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26995,0.04915669,259.55,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,98.6493248525618
281,0104-024,SANDPIPER RD (NB),TARPON LA,OYSTER LA,Collector,0104-024 SANDPIPER RD (NB) From TARPON LA To OYSTER LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,57,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05468605,288.74,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,110.13803642229
282,4069-001,OYSTER LA,SANDPIPER RD (NB),W DEAD END,Local,4069-001 OYSTER LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,18,0,62,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,94206,0.0635046,335.3,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,127.443078345665
283,0104-025,SANDPIPER RD (NB),OYSTER LA,POMPANO LA,Collector,0104-025 SANDPIPER RD (NB) From OYSTER LA To POMPANO LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,40,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05522173,291.57,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,111.221912097096
284,0104-026,SANDPIPER RD (NB),POMPANO LA,BLUEFISH LA,Collector,0104-026 SANDPIPER RD (NB) From POMPANO LA To BLUEFISH LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,68,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05515343,291.21,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,111.083207077126
285,1273-002,BLUEFISH LA,SANDPIPER RD (NB),W DEAD END,Local,1273-002 BLUEFISH LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,25,0,66,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,25551,0.07105456,375.17,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,142.604185627561
286,4649-001,SALMON LA,SANDPIPER RD (NB),W CUL-DE-SAC,Local,4649-001 SALMON LA From SANDPIPER RD (NB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,21,0,67,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26803,0.06949193,366.92,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,139.459654803423
287,0104-021,SANDPIPER RD (NB),SALMON LA,PICKEREL LA,Collector,0104-021 SANDPIPER RD (NB) From SALMON LA To PICKEREL LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,29,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05532547,292.12,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,111.424172469317
288,4184-001,PICKEREL LA,SANDPIPER RD (NB),W DEAD END,Local,4184-001 PICKEREL LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,24,0,70,2,1998/08/30 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26609,0.07525247,397.33,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,151.00947540992
289,0104-027,SANDPIPER RD (NB),BLUEFISH LA,STURGEON LA,Collector,0104-027 SANDPIPER RD (NB) From BLUEFISH LA To STURGEON LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,61,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05536276,292.32,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,111.505434405625
290,1273-001,BLUEFISH LA,SANDFIDDLER RD,SANDPIPER RD (NB),Local,1273-001 BLUEFISH LA From SANDFIDDLER RD To SANDPIPER RD (NB),CITY MAINTAINED VDOT FUNDED,25,ASPHALT,18,0,60,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,25550,0.06720126,354.82,2024/08/21 21:27:27+00,2025,0.1,2024/09/09 18:16:58+00,134.867090242501
291,5062-001,STURGEON LA,SANDPIPER RD (NB),W DEAD END,Local,5062-001 STURGEON LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,42,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26941,0.06839439,361.12,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,137.261794137318
292,0104-028,SANDPIPER RD (NB),STURGEON LA,SPOT LA,Collector,0104-028 SANDPIPER RD (NB) From STURGEON LA To SPOT LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,61,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05464989,288.55,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,110.073714374611
293,4944-001,SPOT LA,SANDPIPER RD (NB),W CUL-DE-SAC,Local,4944-001 SPOT LA From SANDPIPER RD (NB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,76,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26904,0.07358345,388.52,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,147.68071970237
294,0104-029,SANDPIPER RD (NB),SPOT LA,SAILFISH LA,Collector,0104-029 SANDPIPER RD (NB) From SPOT LA To SAILFISH LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,60,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05438447,287.15,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,109.536249102568
295,4640-001,SAILFISH LA,SANDPIPER RD (NB),W DEAD END,Local,4640-001 SAILFISH LA From SANDPIPER RD (NB) To W DEAD END,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,21,0,64,2,1998/08/30 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26801,0.07314754,386.22,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,146.808794011319
296,0104-030,SANDPIPER RD (NB),SAILFISH LA,SUNFISH LA,Collector,0104-030 SANDPIPER RD (NB) From SAILFISH LA To SUNFISH LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,66,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05110416,269.83,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,102.924725922749
297,5096-001,SUNFISH LA,SANDPIPER RD (NB),W CUL-DE-SAC,Local,5096-001 SUNFISH LA From SANDPIPER RD (NB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,23,0,72,2,1998/12/31 05:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26957,0.07167478,378.44,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,143.805230944807
298,0104-022,SANDPIPER RD (NB),PICKEREL LA,SWORDFISH LA,Collector,0104-022 SANDPIPER RD (NB) From PICKEREL LA To SWORDFISH LA,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,741,26,2,1998/08/26 04:00:00+00,SANDBRIDGE,District 2,N12,,0.05490726,289.91,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,110.584799555088
299,5137-002,SWORDFISH LA,SANDPIPER RD (SB),W CUL-DE-SAC,Local,5137-002 SWORDFISH LA From SANDPIPER RD (SB) To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,22,0,71,2,1998/08/30 04:00:00+00,NO ASSOCIATED SUBDIVISION,District 2,N12,26973,0.0733015,387.03,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,147.109888400836
300,0398-006,FIREFALL DR,CHAKA CT,SCHUMANN DR,Local,0398-006 FIREFALL DR From CHAKA CT To SCHUMANN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,39,0,78,2,1998/08/27 04:00:00+00,OCEAN LAKES,District 5,M11,92840,0.03429398,181.07,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,68.8858379232773
301,0398-005,FIREFALL DR,MARTINGALE CT,CHAKA CT,Local,0398-005 FIREFALL DR From MARTINGALE CT To CHAKA CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,51,0,47,2,1998/08/27 04:00:00+00,OCEAN LAKES,District 5,M11,92839,0.06791578,358.6,2024/08/21 21:27:27+00,2025,0.29,2024/09/09 18:16:58+00,136.416246282802
302,0398-004,FIREFALL DR,PENDERGRASS CT,MARTINGALE CT,Local,0398-004 FIREFALL DR From PENDERGRASS CT To MARTINGALE CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,52,0,45,2,1998/08/27 04:00:00+00,OCEAN LAKES,District 5,M11,92838,0.04862182,256.72,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,97.6544014035722
303,0398-003,FIREFALL DR,FIREFALL CT,PENDERGRASS CT,Local,0398-003 FIREFALL DR From FIREFALL CT To PENDERGRASS CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,53,0,39,2,1998/08/27 04:00:00+00,OCEAN LAKES,District 5,M11,92837,0.05245706,276.97,2024/08/21 21:27:27+00,2025,0.23,2024/09/09 18:16:58+00,105.352378690279
304,0269-001,BOLD RULER DR,DA VINCI DR,FIREFALL DR,Local,0269-001 BOLD RULER DR From DA VINCI DR To FIREFALL DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,47,0,64,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M11,94167,0.08312822,438.92,2024/08/21 21:27:27+00,2025,0.33,2024/09/09 18:16:58+00,166.908922510127
305,0269-002,BOLD RULER DR,FIREFALL DR,CANNONADE TL,Local,0269-002 BOLD RULER DR From FIREFALL DR To CANNONADE TL,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,51,0,81,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M11,15601,0.04144288,218.82,2024/08/21 21:27:27+00,2025,0.18,2024/09/09 18:16:58+00,83.2605296824972
306,0398-002,FIREFALL DR,PINK STAR CT,FIREFALL CT,Local,0398-002 FIREFALL DR From PINK STAR CT To FIREFALL CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,47,0,39,2,1998/08/27 04:00:00+00,OCEAN LAKES,District 5,M11,92836,0.05011793,264.62,2024/08/21 21:27:27+00,2025,0.2,2024/09/09 18:16:58+00,100.633487910188
307,0398-001,FIREFALL DR,BOLD RULER DR,PINK STAR CT,Local,0398-001 FIREFALL DR From BOLD RULER DR To PINK STAR CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,43,0,70,2,1998/08/27 04:00:00+00,OCEAN LAKES,District 5,M11,92835,0.05998941,316.74,2024/08/21 21:27:27+00,2025,0.21,2024/09/09 18:16:58+00,120.644865311131
308,0269-004,BOLD RULER DR,SWORD DANCER DR,SWORD DANCER DR,Local,0269-004 BOLD RULER DR From SWORD DANCER DR To SWORD DANCER DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,50,0,68,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15603,0.05176125,273.3,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,103.99130372685
309,0269-005,BOLD RULER DR,SWORD DANCER DR,PURCHASE AR,Local,0269-005 BOLD RULER DR From SWORD DANCER DR To PURCHASE AR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,51,0,67,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15604,0.06057506,319.84,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,121.699439553763
310,0269-006,BOLD RULER DR,PURCHASE AR,GOODARD DR,Local,0269-006 BOLD RULER DR From PURCHASE AR To GOODARD DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,51,0,67,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15605,0.05189681,274.02,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,104.309719996269
311,0269-007,BOLD RULER DR,GOODARD DR,SWORD DANCER DR,Local,0269-007 BOLD RULER DR From GOODARD DR To SWORD DANCER DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,53,0,70,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15606,0.05399262,285.08,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,108.460819728329
312,0269-009,BOLD RULER DR,UNICORN DR,KITIMAL DR,Local,0269-009 BOLD RULER DR From UNICORN DR To KITIMAL DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,55,0,69,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15608,0.06802591,359.18,2024/08/21 21:27:27+00,2025,0.31,2024/09/09 18:16:58+00,136.562889503044
313,0269-011,BOLD RULER DR,SUMMER LAKE LA,KITIMAL DR,Local,0269-011 BOLD RULER DR From SUMMER LAKE LA To KITIMAL DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,49,0,61,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,94168,0.02823201,149.07,2024/08/21 21:27:27+00,2025,0.12,2024/09/09 18:16:58+00,56.9021218265296
314,0269-008,BOLD RULER DR,SWORD DANCER DR,UNICORN DR,Local,0269-008 BOLD RULER DR From SWORD DANCER DR To UNICORN DR,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,52,0,66,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15607,0.05565664,293.87,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,111.728670272706
315,0269-010,BOLD RULER DR,KITIMAL DR,SUMMER LAKE LA,Local,0269-010 BOLD RULER DR From KITIMAL DR To SUMMER LAKE LA,CITY MAINTAINED VDOT FUNDED,35,ASPHALT,46,0,66,2,1998/09/04 04:00:00+00,OCEAN LAKES,District 5,M10,15609,0.06935521,366.2,2024/08/21 21:27:27+00,2025,0.27,2024/09/09 18:16:58+00,139.55489627714
316,4265-001,POINCARE BEND,DWYER RD,W CUL-DE-SAC,Local,4265-001 POINCARE BEND From DWYER RD To W CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,38,0,68,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,22846,0.07546989,398.48,2024/08/21 21:27:27+00,2025,0.24,2024/09/09 18:16:58+00,151.688079393902
317,0378-005,DWYER RD,POINCARE BEND,BUNSEN DR,Local,0378-005 DWYER RD From POINCARE BEND To BUNSEN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,80,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,M10,94781,0.02907973,153.54,2024/08/21 21:27:27+00,2025,0.08,2024/09/09 18:16:58+00,58.5412225382706
318,0378-007,DWYER RD,DOPPLER DR,DWYER CT,Local,0378-007 DWYER RD From DOPPLER DR To DWYER CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,83,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,M10,94783,0.13475557,711.51,2024/08/21 21:27:27+00,2025,0.34,2024/09/09 18:16:58+00,271.285304592605
319,2133-001,DOPPLER DR,DWYER RD,DOPPLER CT,Local,2133-001 DOPPLER DR From DWYER RD To DOPPLER CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,65,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94720,0.09512288,502.25,2024/08/21 21:27:27+00,2025,0.22,2024/09/09 18:16:58+00,191.080370816363
320,0739-001,WASSERMAN DR,DAIMLER DR,DWYER RD,Local,0739-001 WASSERMAN DR From DAIMLER DR To DWYER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,28,0,76,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,97074,0.06442302,340.15,2024/08/21 21:27:27+00,2025,0.15,2024/09/09 18:16:58+00,129.618834303765
321,2206-001,DWYER CT,E CUL-DE-SAC,DWYER RD,Local,2206-001 DWYER CT From E CUL-DE-SAC To DWYER RD,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,49,0,80,2,1999/05/02 04:00:00+00,PINE MEADOWS,District 5,M10,19939,0.02794977,147.57,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,56.1884313101153
322,0378-008,DWYER RD,DWYER CT,WASSERMAN DR,Local,0378-008 DWYER RD From DWYER CT To WASSERMAN DR,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,73,2,1998/09/02 04:00:00+00,PINE MEADOWS,District 5,M10,94784,0.04711152,248.75,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,94.7462313345497
323,0739-002,WASSERMAN DR,DWYER RD,WASSERMAN CT,Local,0739-002 WASSERMAN DR From DWYER RD To WASSERMAN CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,33,0,75,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,97075,0.05099288,269.24,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,102.548585783823
324,0739-003,WASSERMAN DR,WASSERMAN CT,FLAMMARION CT,Local,0739-003 WASSERMAN DR From WASSERMAN CT To FLAMMARION CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,31,0,77,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,97076,0.05095219,269.03,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,102.470404859969
325,2454-001,FLAMMARION CT,WASSERMAN DR,N CUL-DE-SAC,Local,2454-001 FLAMMARION CT From WASSERMAN DR To N CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,37,0,78,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,96447,0.08553871,451.64,2024/08/21 21:27:27+00,2025,0.26,2024/09/09 18:16:58+00,172.078613437337
326,0408-007,GALVANI DR (NB),LEVY LO,START MEDIAN,Local,0408-007 GALVANI DR (NB) From LEVY LO To START MEDIAN,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,41,0,68,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,M10,16274,0.00617673,32.61,2024/08/21 21:27:27+00,2025,0.02,2024/09/09 18:16:58+00,12.4503209697582
327,0408-008,GALVANI DR (NB),START MEDIAN,CASUAL CT,Local,0408-008 GALVANI DR (NB) From START MEDIAN To CASUAL CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,26,0,78,2,1999/04/28 04:00:00+00,PINE MEADOWS,District 5,M10,97145,0.05902511,311.65,2024/08/21 21:27:27+00,2025,0.13,2024/09/09 18:16:58+00,118.946771456299
328,3374-002,LEVY LO,LEVY LO,LEVY CT,Local,3374-002 LEVY LO From LEVY LO To LEVY CT,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,82,2,1999/06/06 04:00:00+00,PINE MEADOWS,District 5,M10,26283,0.06483373,342.32,2024/08/21 21:27:27+00,2025,0.16,2024/09/09 18:16:58+00,130.164718322364
329,0739-004,WASSERMAN DR,FLAMMARION CT,KEPLER BEND,Local,0739-004 WASSERMAN DR From FLAMMARION CT To KEPLER BEND,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,30,0,81,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,97078,0.05486574,289.69,2024/08/21 21:27:27+00,2025,0.14,2024/09/09 18:16:58+00,110.340876755875
330,2132-001,DOPPLER CT,DOPPLER DR,S CUL-DE-SAC,Local,2132-001 DOPPLER CT From DOPPLER DR To S CUL-DE-SAC,CITY MAINTAINED VDOT FUNDED,25,ASPHALT,49,0,73,2,1998/12/31 05:00:00+00,PINE MEADOWS,District 5,M10,94722,0.02664857,140.7,2024/08/21 21:27:27+00,2025,0.11,2024/09/09 18:16:58+00,53.7060669306551
